pl_name,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-138 f,0.10447,2.904,1.63,653,5356.3,0.863,202.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-138 g,0.23109,3.013,4.32,445,5356.3,0.863,202.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-146 b,0.0248,2.05,5.77,534,3385,0.33,79.3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-18 b,0.1429,2.37,8.92,284,3457,0.444516,38.0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-19 b,0.074,7,32.4,854,5322,0.82,289.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-19 c,0.0971,4.1,10.8,745,5322,0.82,289.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-24 b,0.154,5.4,19,709,5625,1.16,170.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-25 b,0.0287,3.44,24.5,494,3207,0.290216,44.9565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-29 b,0.04217,13.33871,232.0159,1171,5358,0.86,178.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-292 b,0.13,2.63,24.5,795,5725,1.09,114.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-3 b,0.0747,2.078,5.11,501.3,3951,0.550856,44.0727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-3 c,0.1357,1.582,2.68,371.8,3951,0.550856,44.0727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-32 b,0.0795,5.299,15,837,5271,0.86,157.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-32 c,0.13843,3.134,8.1,634,5271,0.86,157.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-32 d,0.18422,3.484,6.7,550,5271,0.86,157.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELT-11 b,0.06229,15.13215,54.34893,1712,5375,2.69,99.1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELT-24 b,0.0665,12.71098411,1458.832388,1391,6426,1.338,96.5173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOI-1257 b,0.382,10.54,460.83,511,5520,1.13,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-101 b,0.0474,5.77,51.1,1513,5667,1.56,927.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-117 b,0.1445,8.059,29.875,984,6150,1.606,1455.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-117 c,0.2804,12.341,584.78,704,6150,1.606,1455.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-138 b,0.0753,0.64,0.07,452,3841,0.535,66.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-138 c,0.0913,1.51,2.3,410,3841,0.535,66.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-138 d,0.1288,1.51,2.1,345,3841,0.535,66.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-39 b,0.164,13.9,6388.1,897,6350,1.4,1057.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-411 b,0.0375,2.401,25.6,1138,4974,0.82,153.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-411 c,0.0739,4.421,26.4,838,4906,0.82,153.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-411 d,0.279,3.319,15.2,410,4961,0.82,153.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-412 b,0.02897,15.031269,299.07803,1850,5750,1.287,1086.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-423 b,0.03585,13.361,189.101,1605,5560,0.95,758.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-43 b,0.046,13.663771,1026.5909,1620,6041,1.42,1005.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-75 b,0.0818,11.77,3209.9,767,5200,0.89,835.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-91 b,0.0731,15.322703,257.4423,2040,4550,6.3,1294.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 98-59 b,0.02191,0.85,0.4,627,3415,0.303,10.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 98-59 c,0.0304,1.385,2.22,553,3415,0.303,10.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 98-59 d,0.0486,1.521,1.94,416,3415,0.303,10.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 791-18 c,0.02961,2.438,7.1,324.4,2960,0.182,26.4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 791-18 d,0.01992,1.032,0.9,395.5,2960,0.182,26.4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 1445 A b,0.022,1.18,2.73,555,3340,0.265,6.86929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 3780 c,0.0757,2.39,8.04,359,3358,0.38,21.9814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-8 b,0.035,12.21781,295.5819,1345,5241,0.98,428.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-9 b,0.058,11.99363,921.707,1448,6330,1.38,609.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 139270665 b,0.163,7.22979255,147.1545524,703,5844,1.016,189.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
